controller,rms_mm,robust_rms_mm,energy,slew,obstacle_steps,sat_frac,mean_latency_ms,score
LQR + flatness,99.89469926095151,102.09694999532817,0.4831417742478219,377.5605312694233,28,0.7237936772046589,0.047239462534586586,0.0
Linear MPC (preview),242.64739972788098,241.99823172134123,0.003429762982541914,0.06390854728587725,20,0.0,11.53748353322347,0.0
Sampling MPC (learned),316.3894004448512,275.44693002855206,0.0333560153077053,14.286613685187062,0,0.0,38.36158633232117,7.95212384414421
Imitation policy (BC+PPO),41.40476556686805,35.686397928685594,0.004023577908636351,0.05803301763190022,46,0.0,0.08527755737304688,0.0
Imitation + MPC shield,317.4658711981914,283.3833992099053,0.031567910983922615,12.761927158892068,0,0.0,38.42377026875813,7.88443567776015
