controller,plant,stable,gm_db,pm_deg,disk_alpha,dm_gain_db,dm_phase_deg,Sinf,Tinf
LQG,nominal,True,12.21550743133257,50.939028446310886,0.8169990258544708,19.938025858196355,78.49757803344056,1.6287004004869046,1.164334147964351
LQG,perturbed,False,nan,nan,0.0,0.0,0.0,1.1759054325844776,1.977610902319743
H-infinity,nominal,True,inf,90.33031056368014,1.978175635543954,inf,180.0,1.0054833155783485,0.9991194267463441
H-infinity,perturbed,True,4.171169973210019,89.41075613248904,0.4651859837158656,8.753799496557248,49.894377273089695,2.6451359748132517,1.657197077120082
