controller,rms_err_mm,max_err_mm,rms_cross_track_mm,completion_pct,ctrl_energy,status
PD + gravity comp,30.680343798613684,46.36229558304578,20.30711285990056,99.69232065185231,472.151412988154,OK
Computed torque (nominal model),393.80891591670553,519.5105633775911,262.25216835941353,36.897280702835324,492.8186821116795,OK
Adaptive computed torque,4.926703660583115,10.163056139745445,5.199344279465629,100.0,763.509154073359,OK
