controller,rms_err_mm,max_err_mm,rms_cross_track_mm,completion_pct,ctrl_energy,status
PD + gravity comp,32.2376478649337,54.47070436990886,21.432316961007547,99.38473191570984,891.2436340781651,OK
Computed torque,4.3220182346122344,29.592588004670827,3.369929823697011,100.0,164.29123275012128,OK
Joint LQR,2.572098124179165,12.023421960175174,4.143445501275839,100.0,164.48937084492292,OK
Joint MPC,9.999060508485039,50.501986331779655,3.3825077336018987,100.0,164.43717031640756,OK
