controller,rise_time,settling_time,peak_overshoot_pct,peak_time,steady_state_error,rmse,iae,itae,ise,control_energy,peak_control,slew_rate,saturation_pct
P-only,0.275,10.0,9541010885.134775,10.0,60371022.62486608,15099996.199557882,47705082.41740175,453198246.80705506,2275775317716341.5,984.3090531059473,10.0,1674.2970829680048,97.62
PD,0.389,10.0,28.191640801700245,6.117000000000001,0.2812499963547195,0.3021319447082893,2.811267496545481,13.63082238819391,0.9123888530632118,316.2675931271182,10.0,1184.4133819150047,1.595
PID (no AW),0.334,6.162000000000001,53.08091943254563,1.0259999999999998,3.8975607440073114e-05,0.21364878189621472,0.9273626803291355,1.0433316182961503,0.4560036658590672,262.16285321934834,10.0,1277.8571769752211,5.545
PID + AW,0.362,6.1610000000000005,39.43327963014078,1.045,3.894805697287662e-05,0.19219732076029736,0.7978846151007468,0.875952121153963,0.3689350408841723,245.13894038363833,10.0,1089.4368405057849,1.6050000000000002
