controller,rise_time,settling_time,peak_overshoot_pct,steady_state_error,rmse,control_energy,peak_control,saturation_pct,status
P-only,0.275,10.0,9541010885.134775,60371022.62486608,15099996.199557882,984.3090531059473,10.0,97.62,Diverged
PD,0.389,10.0,28.191640801700245,0.2812499963547195,0.3021319447082893,316.2675931271182,10.0,1.595,Marginal
PID (no AW),0.334,6.162000000000001,53.08091943254563,3.8975607440073114e-05,0.21364878189621472,262.16285321934834,10.0,5.545,Stable
PID + AW,0.362,6.1610000000000005,39.43327963014078,3.894805697287662e-05,0.19219732076029736,245.13894038363833,10.0,1.6050000000000002,Stable
