controller,rise_time,settling_time,peak_overshoot_pct,peak_time,steady_state_error,rmse,iae,itae,ise,control_energy,peak_control,slew_rate,saturation_pct
Pole placement,0.0,1.046,0.0,0.0,9.867008133585219e-05,0.017105334079435458,0.04988002264129045,0.04782726572743502,0.001746139901914322,2.341345072342337,8.713656040023734,743.3560560210457,0.0
LQR (balanced),0.0,1.046,0.0,0.0,9.865060597283041e-05,0.017105191897378753,0.049879103067355234,0.04782563528575449,0.0017461107074507362,2.341385621486604,8.713768187607759,743.3812379767137,0.0
LQR (soft),0.0,1.7,0.0,0.0,0.0019250289401038967,0.022264034304764375,0.07881689146145868,0.11023828295695698,0.0029651119859829753,0.9588301491236162,3.0846431595137083,32.62556416365235,0.0
PID (angle only),0.0,0.202,0.0,0.0,4.276124706955129e-22,0.010952065887871777,0.01290841762293951,0.0015466538227444939,0.0007099263787681325,8.764420614628802,18.0,7891.767783715507,0.0
