controller,rise_time,settling_time,peak_overshoot_pct,steady_state_error,rmse,control_energy,peak_control,saturation_pct,status
Pole placement,0.0,1.046,0.0,9.867008133585219e-05,0.017105334079435458,2.341345072342337,8.713656040023734,0.0,Stable
LQR (balanced),0.0,1.046,0.0,9.865060597283041e-05,0.017105191897378753,2.341385621486604,8.713768187607759,0.0,Stable
LQR (soft),0.0,1.7,0.0,0.0019250289401038967,0.022264034304764375,0.9588301491236162,3.0846431595137083,0.0,Stable
PID (angle only),0.0,0.202,0.0,4.276124706955129e-22,0.010952065887871777,8.764420614628802,18.0,0.0,Stable
