task,planner,effort,term_err_planned,term_err_rolled,max_dyn_drift,peak_u,box_ok,knots,solve_ms,converged,min_clear_planned,min_clear_rolled,path_len,peak_a
A,Direct collocation (HS),74.95357671863573,0.0,0.0008135264898076177,0.0008135264898076177,12.92191232545191,True,41,711.2511999439448,True,,,,
A,iLQR / single shooting,65.03054286422919,0.25265815074095205,0.2526811854791077,3.4728655534551375e-05,12.68807644747063,True,101,1390.3516000136733,True,,,,
A,CEM / sampling,88.01729474178553,0.649243651177692,0.6492522470959714,1.2998062535977581e-05,13.105963936705047,True,101,8268.73330003582,True,,,,
B,Direct collocation (HS),4.480831546817756,1.2499216779664926e-22,1.5382941935815353e-06,,,True,41,507.8786000376567,True,1.1102230246251565e-16,-1.062459662248827e-06,4.293718605751172,1.4767624734728029
B,iLQR / single shooting,3.952884457518106,0.13775200068971735,0.1377520006897312,,,True,81,1001.2036999687552,True,-0.0002771377579960932,-0.000277137757990209,4.284476619830967,1.44144485870982
B,CEM / sampling,4.181405938004399,0.14500822226267132,0.1450082222626796,,,True,81,4551.748999976553,True,-7.67501576626195e-05,-7.675015766550608e-05,4.297180119414233,1.4323317151579908
