controller,rms_err_early,rms_err_late,settle_err_final,ctrl_energy
LQR (nominal k=1),0.25729576553261596,0.40125603059810677,0.42171460415590745,180.7077479014406
LQR (worst-case k=5),0.35767523112089256,0.5193764253269322,0.5405670796756932,123.25770740084975
MRAC,0.0008333101583760488,0.0008333132191329948,0.0008333132192755999,413.50997400298917
GainScheduled LQR,0.2915805386721973,0.507455114002195,0.5395710812685621,142.34681495182986
