controller,rise_time,settling_time,peak_overshoot_pct,peak_time,steady_state_error,rmse,iae,itae,ise,control_energy,peak_control,slew_rate,saturation_pct
LQR,0.0,2.79,0.0,0.0,0.00037361425901129487,0.06402720053912278,0.18857933592790654,0.18248930325750604,0.02402538878334717,28.806214597703462,20.0,4114.372825755575,0.5833333333333334
MPC (unconstrained),0.0,2.81,0.0,0.0,0.00037676639152098155,0.06467329017377654,0.19127423748061786,0.1855353426552824,0.024525132616219674,27.693851288133686,20.0,3804.5925688251464,0.5833333333333334
MPC (|x|<=0.5),0.0,2.56,0.0,0.0,0.0003159568174283865,0.05805834022748156,0.1604643493111573,0.14609780391359478,0.019645832568193633,46.273250972861284,20.0,6003.651060773186,1.0833333333333335
