controller,rise_time,settling_time,peak_overshoot_pct,steady_state_error,rmse,control_energy,peak_control,saturation_pct,status
LQR (true model),0.0,1.26,0.0,0.00022949940874324764,0.03741284157338214,8.417475123840957,17.427536375215517,0.0,Stable
SamplingMPC (true model),0.0,4.4399999999999995,0.0,0.0024258860120861874,0.04482831531378766,10.8036639924567,6.588541367891485,0.0,Stable
SamplingMPC (learned model),0.0,3.56,0.0,0.0014016262970295613,0.0461909754802853,10.185347589603916,5.995919450174191,0.0,Stable
