controller,rise_time,settling_time,peak_overshoot_pct,peak_time,steady_state_error,rmse,iae,itae,ise,control_energy,peak_control,slew_rate,saturation_pct
LQR (true model),0.0,1.26,0.0,0.0,0.00022949940874324764,0.03741284157338214,0.09649927466766163,0.09140347610965194,0.0066265972725736005,8.417475123840957,17.427536375215517,3489.1623431993944,0.0
SamplingMPC (true model),0.0,4.4399999999999995,0.0,0.0,0.0024258860120861874,0.04482831531378766,0.1376720221703447,0.21172961687873093,0.009687923463166244,10.8036639924567,6.588541367891485,10443.18289809291,0.0
SamplingMPC (learned model),0.0,3.56,0.0,0.0,0.0014016262970295613,0.0461909754802853,0.14008914558125585,0.19906903933898035,0.010310691882793833,10.185347589603916,5.995919450174191,9880.515354760293,0.0
