controller,max_pos,box_violation,violates,steps_over,x_ss,peak_u,rms_u
nominal LinearMPC,0.40650752361549236,0.006507523615492339,True,184,0.4049393482469635,6.0,1.2139714140562474
TubeMPC,0.40024071331174266,0.00024071331174263522,False,0,0.4001877302155157,3.724523641171274,1.1268619956854447

mrpi_half_widths,0.0700477411457527,0.2824982156496851
tightened_x_hi,0.32995225885424734
tightened_u_hi,3.724523641171268
