controller,rms_pos_err_mm,min_clearance_mm,steps_in_keepout,ctrl_energy
LQR + flatness feedforward,86.25585157621556,-85.79806389761536,26,0.48036428434522527
SamplingMPC (true model),234.3845537273176,10.876419101803119,0,0.032908407768191525
SamplingMPC (learned model),254.63725079561888,26.059214772224227,0,0.03430218274584393
