controller,rms_err_mm,max_err_mm,rms_cross_track_mm,completion_pct,ctrl_energy,status
Pure pursuit,69.5140901189159,107.36409784239358,34.56672196020216,98.39025840393013,1.9486678211790731,OK
Stanley,111.4260501517692,256.98121691974256,9.746870849317721,95.5104281894234,2.4115228917199145,OK
Path LQR,96.44923607610062,229.56533999724863,9.248442653917433,96.14718718332689,2.277988606622788,OK
Kinematic MPC,128.01783109357,290.35163976794314,19.15813309765267,94.87614135930377,2.3655968587887113,OK
