zeta_r,mu_analytic,mu_solver_ub,mu_solver_lb,wmT,wgT,rs_margin,nom_pole,gm_db,pm_deg
0.4,0.6535934868031822,0.6535934868031821,0.6534555954755035,0.32180322387217897,0.4103253057913481,1.5300030067483397,-2.5311101432711025,13.979284241968518,66.51530612040045
0.38326086956521743,0.6449009373180856,0.6449009373180855,0.6448732571960192,0.3153684990544874,0.4103253057913481,1.5506257506131802,-2.607479956404026,13.979284241968518,66.51530612040045
0.3665217391304348,0.6361762829810438,0.6361762829810438,0.6360436270875762,0.3091381137658786,0.4103253057913481,1.571891355826915,-2.688792754302858,13.979284241968518,66.51530612040045
0.3497826086956522,0.6274313164985331,0.627431316498533,0.6273145978858296,0.3032599319721145,0.4103253057913481,1.5937999486232817,-2.775440964688882,13.979284241968518,66.51530612040045
0.33304347826086955,0.6186793931624333,0.6186793931624331,0.6185203675757133,0.2977902511478124,0.4103253057913481,1.6163460607414342,-2.867821897531565,13.979284241968518,66.51530612040045
0.31630434782608696,0.6099356707038003,0.6099356707038002,0.6099055261679901,0.29297482374015305,0.4103253057913481,1.6395171622707478,-2.966319946051141,13.979284241968518,66.51530612040045
0.2995652173913044,0.6012173949626554,0.6012173949626556,0.6011831803642744,0.2892928916659471,0.4103253057913481,1.6632918614440872,-3.071279931827748,13.979284241968518,66.51530612040045
0.2828260869565218,0.5925442398129884,0.5925442398129883,0.592533668649675,0.2881156226592807,0.4103253057913481,1.6876377033309915,-3.1829699256739046,13.979284241968518,66.51530612040045
0.26608695652173914,0.583938710440578,0.5839387104405779,0.5833107273702154,0.290951049730052,0.4103253057913481,1.7125084912516015,-3.3015334864859724,13.979284241968518,66.51530612040045
0.24934782608695652,0.5754266190234754,0.5754266190234754,0.5754121564119921,0.29732246342022406,0.4103253057913481,1.7378410503446027,-3.426934577531821,13.979284241968518,66.51530612040045
0.2326086956521739,0.5670553725335553,0.5670553725335553,0.5670323919258773,0.3068732550352238,0.4103253057913481,1.7634962094302797,-3.558903244576608,13.979284241968518,66.51530612040045
0.2158695652173913,0.5588493195878164,0.5588493195878164,0.5584930221272998,0.3196583082359806,0.4103253057913481,1.7893911023056408,-3.69689453331885,13.979284241968518,66.51530612040045
0.1991304347826087,0.550836152700066,0.5508361527000661,0.5504550394313191,0.3363949919221356,0.4103253057913481,1.8154218729076534,-3.8400732920941376,13.979284241968518,66.51530612040045
0.18239130434782608,0.5430605125548037,0.5430605125548036,0.5423111582821707,0.35756861671967277,0.4103253057913481,1.8414154166642407,-3.859925318827325,13.979284241968518,66.51530612040045
0.1656521739130435,0.5355739192741392,0.5355739192741392,0.5345815487306791,0.3842702136476356,0.4103253057913481,1.8671558939152513,-3.547263824392547,13.979284241968518,66.51530612040045
0.14891304347826084,0.528435568121587,0.5284355681215869,0.527853826315079,0.4190064766419609,0.4103253057913481,1.8923782960989322,-3.228969463581956,13.979284241968518,66.51530612040045
0.13217391304347825,0.5217129307351664,0.5217129307351663,0.5215209810481327,0.46311035463125294,0.4103253057913481,1.9167629190077007,-2.906228100283072,13.979284241968518,66.51530612040045
0.11543478260869566,0.5782435384554929,0.5782435384554929,0.5782070938034571,0.5222558350407565,0.4103253057913481,1.7293751395320942,-2.580478534203831,13.979284241968518,66.51530612040045
0.09869565217391302,0.6559994221839884,0.6559994221839882,0.6559986116017653,0.6003153604589752,0.4103253057913481,1.5243915866126017,-2.253268325422476,13.979284241968518,66.51530612040045
0.08195652173913043,0.7701796728744231,0.7701796728744231,0.769384833384072,0.7171381760726168,0.4103253057913481,1.2983983286235714,-1.9260889863844497,13.979284241968518,66.51530612040045
0.06521739130434778,0.9463855380615765,0.9463855380615763,0.946233806258604,0.8933440412597702,0.4103253057913481,1.0566518187167555,-1.6002365961114267,13.979284241968518,66.51530612040045
0.04847826086956519,1.2402536445294718,1.2402536445294716,1.2402534213162326,1.1872121477276656,0.4103253057913481,0.8062866853170028,-1.2767288781718444,13.979284241968518,66.51530612040045
0.0317391304347826,1.8182355647049044,1.8182355647049044,1.816938644756569,1.7651940679030982,0.4103253057913481,0.5499837421573578,-0.9562838427579219,13.979284241968518,66.51530612040045
0.015,3.3395659145158105,3.3395659145158105,3.3382584732534233,3.2865244177140043,0.4103253057913481,0.2994401145530274,-0.6393449850873387,13.979284241968518,66.51530612040045

boundary,zeta_r
wgT=1,nan
wmT=1,0.05914212159761443
GR_unstable,nan
mu=1,0.062163438010930404
solver_vs_analytic_rel_err,3.6932498424937227e-16

zr_eval,0.04
base_peak,1.0096618012985084
base_margin,0.9904306558036736
base_Speak,1.005482351041462
base_gamma,0.9809434413909912
dk_peak,0.9953904217525585
dk_margin,1.0046309248579322
dk_Speak,1.0032909578714373
dk_gamma,0.9834021329879761
