controller,rise_time,settling_time,peak_overshoot_pct,peak_time,steady_state_error,rmse,iae,itae,ise,control_energy,peak_control,slew_rate,saturation_pct
"LQR (full state, clean)",0.0,0.9420000000000001,0.0,0.0,9.291833728954057e-05,0.014973361572051962,0.039732541598487464,0.03762577927044737,0.0011150561747136445,1.4937039341596132,6.971014550086206,476.9840953672939,0.0
LQG,0.0,2.07,0.0,0.014,0.0011776589216351962,0.024850644470477922,0.07923646194235989,0.0946183026907946,0.0030826056448216934,2.2137613698931764,3.2751653757865857,683.4932349482582,0.0
Luenberger + K,0.0,0.496,0.0,0.0,0.0009605209009269298,0.01645399901386234,0.04299598468815178,0.041106400155652055,0.001347808424293046,16.178331021266043,15.10500374661848,70644.7536138276,0.0
LQG (overconfident),0.0,0.8280000000000001,0.0,0.006,0.0009253051175624755,0.021469077795041525,0.06446766478316238,0.07087384568989388,0.002299126504988681,2.969046510254066,4.799247005654364,2092.9541730674755,0.0
