controller,rise_time,settling_time,peak_overshoot_pct,steady_state_error,rmse,control_energy,peak_control,saturation_pct,status
"LQR (full state, clean)",0.0,0.9420000000000001,0.0,9.291833728954057e-05,0.014973361572051962,1.4937039341596132,6.971014550086206,0.0,Stable
LQG,0.0,2.07,0.0,0.0011776589216351962,0.024850644470477922,2.2137613698931764,3.2751653757865857,0.0,Stable
Luenberger + K,0.0,0.496,0.0,0.0009605209009269298,0.01645399901386234,16.178331021266043,15.10500374661848,0.0,Stable
LQG (overconfident),0.0,0.8280000000000001,0.0,0.0009253051175624755,0.021469077795041525,2.969046510254066,4.799247005654364,0.0,Stable
