theta0_rad,controller,status,rise_time,settling_time,peak_overshoot_pct,peak_time,steady_state_error,rmse,iae,itae,ise,control_energy,peak_control,slew_rate,saturation_pct
0.7,balanced,Stable,0.0,3.56,0.0,0.0,3.129987309892944e-05,0.15659903544928758,0.5784875115152945,0.5812452977950773,0.1957451097435383,139.99572107833262,20.0,7816.711479451371,2.5875000000000004
0.7,aggressive,Stable,0.0,3.214,0.0,0.0,0.011149310011296243,0.12257035562546224,0.4841075648909875,0.7351144906287037,0.1197278768114493,136.15143591694533,20.0,45783.818549537085,3.0375
0.7,soft,Stable,0.0,5.63,0.0,0.0,0.0007892134525175094,0.1551080037395812,0.6815383805019604,1.0407347544256327,0.19202605802669515,70.01152830319435,20.0,1221.951698006282,0.36250000000000004
0.75,balanced,Stable,0.0,3.6079999999999997,0.0,0.0,3.8637745817324196e-05,0.17893578286401104,0.6658283443549092,0.6714592116506783,0.25564565113999566,175.84157884573347,20.0,9042.22146190326,3.0625
0.75,aggressive,Stable,0.0,3.33,0.0,0.0,0.013258939497033127,0.13973008521030877,0.5701450122213785,0.8762154023864275,0.15567237144279247,155.94963556722436,20.0,50291.62760458901,3.4375000000000004
0.75,soft,Stable,0.0,5.7379999999999995,0.0,0.0,0.0009638575788431873,0.17228986435045246,0.7636379396340857,1.171880528415238,0.23696724432848343,86.70804165238711,20.0,1312.6677860207258,0.7625
0.8,balanced,Stable,0.0,3.622,0.0,0.0,5.005207263815267e-05,0.20401511695305471,0.7626053874913664,0.7701675741897436,0.33242058789586276,227.4595044305267,20.0,10745.048564633953,3.6125000000000003
0.8,aggressive,Stable,0.0,7.014,0.0,0.0,0.0158087044204927,0.15947430576117091,0.6724244181046259,1.0472020482077624,0.20286708236089712,179.71121948056683,20.0,53934.41022344618,4.262499999999999
0.8,soft,Stable,0.0,5.836,0.0,0.0,0.0012196690645031518,0.1928009959240569,0.862686583837415,1.3302661888203873,0.2968121336176412,108.22078790476085,20.0,1441.9290536870774,1.2625000000000002
0.85,balanced,Stable,0.0,3.4619999999999997,0.0,0.0,8.273025967807722e-05,0.2362133436765207,0.8876659383494778,0.8932523811188533,0.4457630433286441,325.20841796391255,20.0,14027.986788560156,7.7125
0.85,aggressive,Stable,0.0,7.644,0.0,0.0,0.01893262072602572,0.1826717157347242,0.7960998312268541,1.2575117708459471,0.2662955744639369,209.71994165138153,20.0,58601.10002944303,5.3375
0.85,soft,Stable,0.0,5.9159999999999995,0.0,0.0,0.0016343085151062431,0.21803813934868052,0.9853955921439865,1.52592695954861,0.3796976181744858,137.27974463521346,20.0,1628.506638380815,1.9124999999999999
0.9,balanced,Marginal,0.0,8.0,0.0,0.0,40.24816672634447,23.28845261042305,155.52902336423142,858.4471383541451,4338.133827169088,3165.5200091124316,20.0,14944.294530920957,98.175
0.9,aggressive,Marginal,0.0,8.0,0.0,0.0,0.022791687640676506,0.21074580608513127,0.9484775207158118,1.5192547211161047,0.35458873705482147,250.7818785695984,20.0,64386.47940383542,6.737500000000002
0.9,soft,Stable,0.0,5.95,0.0,0.0,0.0024157480807662605,0.2504530762736105,1.1436764116380451,1.776598737800524,0.5011293922501944,179.81127180660164,20.0,1910.3667521756277,2.6875
0.95,balanced,Marginal,0.0,8.0,0.0,0.0,53.337767204350605,30.622020407711947,204.63454013775507,1129.0882700581103,7500.4676028644635,3174.5240786940494,20.0,18544.640048933845,98.75
0.95,aggressive,Marginal,0.0,8.0,0.0,0.0,0.026993656483451346,0.2461137679967645,1.131159618493935,1.815402797913731,0.48379390885708246,319.0818523720209,20.0,73575.56540565554,9.162500000000001
0.95,soft,Stable,0.0,5.836,0.0,0.0,0.004321435468635868,0.29580373238120566,1.3708437760047512,2.1395466428562675,0.6992712636920644,253.87250400632698,20.0,2404.4091615366588,3.7375
1.0,balanced,Marginal,0.0,8.0,0.0,0.0,65.24265598333925,37.231722975542844,247.7865966046765,1372.2471152361036,11087.846038673464,3181.399793362273,20.0,23744.33362932957,99.125
1.0,aggressive,Marginal,0.0,8.0,0.0,0.0,33.18431851911072,19.137953101312686,126.26977802495347,704.0888693418163,2929.651323970696,3194.6292928750245,20.0,76896.62951337776,99.725
1.0,soft,Stable,0.0,6.902,0.0,0.0,0.012035778635484535,0.39852603375201856,2.0161198063729655,3.4950794167049652,1.2699015374333784,513.4785788581037,20.0,4164.7112646744135,9.3625
1.05,balanced,Marginal,0.0,8.0,0.0,0.0,82.07395839976172,46.114933061403924,303.0607568468382,1696.847082217755,17009.870318043282,3187.916155805738,20.0,34756.7641189633,99.44999999999999
1.05,aggressive,Marginal,0.0,8.0,0.0,0.0,58.03421053384403,32.67378270389494,214.75724737868282,1202.142103710974,8539.208087471841,3195.8922957562263,20.0,97223.61245421888,99.8
1.05,soft,Marginal,0.0,8.0,0.0,0.0,44.428478538759165,24.582650883167446,160.52986305406378,903.3027786635892,4833.6222234029865,3099.9482760438805,20.0,4811.37937697543,95.275
1.1,balanced,Marginal,0.0,8.0,0.0,2.062,1.2560834380189787,5.040186723242233,34.42031438342419,140.85172242477807,203.27618405357373,3200.0,20.0,0.0,100.0
1.1,aggressive,Marginal,0.0,8.0,0.0,2.062,1.2560834380189787,5.040186723242233,34.42031438342419,140.85172242477807,203.27618405357373,3200.0,20.0,0.0,100.0
1.1,soft,Marginal,0.0,8.0,0.0,2.062,1.2560834380189787,5.040186723242233,34.42031438342419,140.85172242477807,203.27618405357373,3200.0,20.0,0.0,100.0
1.15,balanced,Marginal,0.0,8.0,0.0,4.982,6.592586234597116,4.78351878049718,32.70525662944269,128.90568265262982,183.04977249467765,3200.0,20.0,0.0,100.0
1.15,aggressive,Marginal,0.0,8.0,0.0,4.982,6.592586234597116,4.78351878049718,32.70525662944269,128.90568265262982,183.04977249467765,3200.0,20.0,0.0,100.0
1.15,soft,Marginal,0.0,8.0,0.0,4.982,6.592586234597116,4.78351878049718,32.70525662944269,128.90568265262982,183.04977249467765,3200.0,20.0,0.0,100.0
1.2,balanced,Marginal,0.0,8.0,0.0,7.388,6.581791894448199,5.026704231894591,35.20931129595815,148.14451363279403,202.16093735521588,3200.0,20.0,0.0,100.0
1.2,aggressive,Marginal,0.0,8.0,0.0,7.388,6.581791894448199,5.026704231894591,35.20931129595815,148.14451363279403,202.16093735521588,3200.0,20.0,0.0,100.0
1.2,soft,Marginal,0.0,8.0,0.0,7.388,6.581791894448199,5.026704231894591,35.20931129595815,148.14451363279403,202.16093735521588,3200.0,20.0,0.0,100.0
1.25,balanced,Marginal,0.0,8.0,0.0,1.358,1.8012882112216824,4.852208564790935,34.03976205231217,137.9061349787042,188.39523030290206,3200.0,20.0,0.0,100.0
1.25,aggressive,Marginal,0.0,8.0,0.0,1.358,1.8012882112216824,4.852208564790935,34.03976205231217,137.9061349787042,188.39523030290206,3200.0,20.0,0.0,100.0
1.25,soft,Marginal,0.0,8.0,0.0,1.358,1.8012882112216824,4.852208564790935,34.03976205231217,137.9061349787042,188.39523030290206,3200.0,20.0,0.0,100.0
1.3,balanced,Marginal,0.0,8.0,0.0,6.344,1.5095407364600222,4.674711014994186,32.56567948123921,126.31393041799245,174.86126345880962,3200.0,20.0,0.0,100.0
1.3,aggressive,Marginal,0.0,8.0,0.0,6.344,1.5095407364600222,4.674711014994186,32.56567948123921,126.31393041799245,174.86126345880962,3200.0,20.0,0.0,100.0
1.3,soft,Marginal,0.0,8.0,0.0,6.344,1.5095407364600222,4.674711014994186,32.56567948123921,126.31393041799245,174.86126345880962,3200.0,20.0,0.0,100.0
1.35,balanced,Marginal,0.0,8.0,0.0,5.992,4.290764758109482,4.628231792986644,32.58831999546664,126.992466812085,171.367577830629,3200.0,20.0,0.0,100.0
1.35,aggressive,Marginal,0.0,8.0,0.0,5.992,4.290764758109482,4.628231792986644,32.58831999546664,126.992466812085,171.367577830629,3200.0,20.0,0.0,100.0
1.35,soft,Marginal,0.0,8.0,0.0,5.992,4.290764758109482,4.628231792986644,32.58831999546664,126.992466812085,171.367577830629,3200.0,20.0,0.0,100.0
1.4,balanced,Marginal,0.0,8.0,0.0,1.1400000000000001,6.744189438718922,4.732936774507801,33.65460067863445,135.632511562743,179.19889795859245,3200.0,20.0,0.0,100.0
1.4,aggressive,Marginal,0.0,8.0,0.0,1.1400000000000001,6.744189438718922,4.732936774507801,33.65460067863445,135.632511562743,179.19889795859245,3200.0,20.0,0.0,100.0
1.4,soft,Marginal,0.0,8.0,0.0,1.1400000000000001,6.744189438718922,4.732936774507801,33.65460067863445,135.632511562743,179.19889795859245,3200.0,20.0,0.0,100.0
1.45,balanced,Marginal,0.0,8.0,0.0,3.272,6.6895297150024104,4.809594409732296,34.50102542853379,142.14455000111377,185.06680877782418,3200.0,20.0,0.0,100.0
1.45,aggressive,Marginal,0.0,8.0,0.0,3.272,6.6895297150024104,4.809594409732296,34.50102542853379,142.14455000111377,185.06680877782418,3200.0,20.0,0.0,100.0
1.45,soft,Marginal,0.0,8.0,0.0,3.272,6.6895297150024104,4.809594409732296,34.50102542853379,142.14455000111377,185.06680877782418,3200.0,20.0,0.0,100.0
1.5,balanced,Marginal,0.0,8.0,0.0,7.334,4.70873736174445,4.7715103167923445,34.488992364649434,141.69081036241244,182.17416510478955,3200.0,20.0,0.0,100.0
1.5,aggressive,Marginal,0.0,8.0,0.0,7.334,4.70873736174445,4.7715103167923445,34.488992364649434,141.69081036241244,182.17416510478955,3200.0,20.0,0.0,100.0
1.5,soft,Marginal,0.0,8.0,0.0,7.334,4.70873736174445,4.7715103167923445,34.488992364649434,141.69081036241244,182.17416510478955,3200.0,20.0,0.0,100.0
1.55,balanced,Marginal,0.0,8.0,0.0,1.01,2.390126552472387,4.6789264948617175,33.814190687801954,136.1061822685273,175.17766117957365,3200.0,20.0,0.0,100.0
1.55,aggressive,Marginal,0.0,8.0,0.0,1.01,2.390126552472387,4.6789264948617175,33.814190687801954,136.1061822685273,175.17766117957365,3200.0,20.0,0.0,100.0
1.55,soft,Marginal,0.0,8.0,0.0,1.01,2.390126552472387,4.6789264948617175,33.814190687801954,136.1061822685273,175.17766117957365,3200.0,20.0,0.0,100.0
