controller,rms_pos_err_mm,max_pos_err_mm,rms_pitch_deg,ctrl_energy,peak_thrust_N,thrust_sat_pct
LQR + flatness feedforward,43.51518196204687,111.7689183025015,4.2929763313098235,0.03294012997345367,0.6,0.6997667444185272
LQR feedback only,51.01847888190222,109.28387280247114,4.352111675362216,0.0378807158980692,0.6,0.733088970343219
Linear MPC (single setpoint),142.08756729324284,208.3075412911723,4.298444957944646,0.02642735578503356,0.49320677227603765,0.09996667777407531
Linear MPC (preview),47.941762751027376,134.37553456347624,4.515021825954208,0.03256518066261906,0.6,0.56647784071976
