path,controller,rms_pos_err_mm,max_pos_err_mm,ctrl_energy,lat_median_ms,lat_p95_ms,lat_cold_ms
Lemniscate (baseline),Sampling MPC (CEM),202.22691476470555,439.09233844058724,0.029824366363538024,28.526299982331693,34.82323007192463,27.09819993469864
Lemniscate (baseline),iLQR / RTI-NMPC,1.3359352687739317,2.404431239616696,0.004082471287705138,16.58830000087619,21.816789999138564,33.78239995799959
Lissajous 3:2,Sampling MPC (CEM),172.78172977370255,314.58381423061996,0.019247099417551636,29.736900003626943,35.34851003205402,30.850499984808266
Lissajous 3:2,iLQR / RTI-NMPC,5.413061331873532,9.906769149245017,0.001339143563426483,16.56279992312193,21.423150028567758,62.04799993429333
Spiral,Sampling MPC (CEM),147.59430977089033,248.7878608442293,0.02589404013759991,30.545299989171326,39.89609001437202,28.690799954347312
Spiral,iLQR / RTI-NMPC,0.17544809086402594,0.38389581051754323,0.0003825631355667972,16.430000076070428,21.244319947436452,31.74660005606711
