controller,rms_err_mm,max_err_mm,completion_pct,collision_steps,ctrl_energy,lat_median_ms,lat_p95_ms
Pure pursuit (blind),69.0536714168409,107.78371583256457,100.0,44,1.1182028315752461,0.02459995448589325,0.036800047382712364
Path LQR (blind),96.85545612347302,229.9999960855556,100.0,82,1.4419143932867091,0.05509995389729738,0.06712004542350769
"Sampling MPC (CEM, obstacle-aware)",138.94648550537957,258.0280845398182,100.0,36,8.246287583210853,112.27499996311963,146.39864000491798
iLQR / RTI-NMPC (obstacle-aware),57.63333573357341,229.0701706752795,100.0,69,1.2915803418621876,111.27939994912595,141.65671992814168
