controller,rise_time,settling_time,peak_overshoot_pct,steady_state_error,rmse,control_energy,peak_control,saturation_pct,status
LQR (true model),0.0,1.046,0.0,9.865060597283041e-05,0.017105191897378753,2.341385621486604,8.713768187607759,0.0,Stable
"LQR (identified, 300 steps)",0.0,6.0,0.0,59.403868378591895,30.176995966052434,1593.238607823082,20.0,56.68333333333333,Marginal
"LQR (identified, 1500 steps)",0.0,4.359999999999999,0.0,0.006178079500364397,0.0374620580090876,2.7397170950334684,3.309110992982623,0.0,Stable
"LQR (identified, 12000 steps)",0.0,2.5679999999999996,0.0,0.0006409319416758774,0.025382304121648505,1.4072231613959436,4.339592730305163,0.0,Stable
