controller,rise_time,settling_time,peak_overshoot_pct,peak_time,steady_state_error,rmse,iae,itae,ise,control_energy,peak_control,slew_rate,saturation_pct
LQR (true model),0.0,1.046,0.0,0.0,9.865060597283041e-05,0.017105191897378753,0.049879103067355234,0.04782563528575449,0.0017461107074507362,2.341385621486604,8.713768187607759,743.3812379767137,0.0
"LQR (identified, 300 steps)",0.0,6.0,0.0,6.0,59.403868378591895,30.176995966052434,136.42765524199856,611.3891518167613,5461.918791245845,1593.238607823082,20.0,14390.518246541327,56.68333333333333
"LQR (identified, 1500 steps)",0.0,4.359999999999999,0.0,0.0,0.006178079500364397,0.0374620580090876,0.17746447211669275,0.3681950556060324,0.00841311287437031,2.7397170950334684,3.309110992982623,55.80163427276038,0.0
"LQR (identified, 12000 steps)",0.0,2.5679999999999996,0.0,0.0,0.0006409319416758774,0.025382304121648505,0.09433738443110162,0.12778543814224602,0.003856856663956026,1.4072231613959436,4.339592730305163,104.62687512115433,0.0
